Chain,Store Number,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Sheetz,49,40.393292,-78.671329,1,rooftop,115,Main St,Portage,PA,Cambria County,15946,US,Cambria
Sheetz,576,40.630161,-77.567723,1,rooftop,101,N Logan Blvd,Burnham,PA,Mifflin County,17009,US,Mifflin
Sheetz,166,41.812501,-78.282145,1,rooftop,101,N Main St,Port Allegany,PA,McKean County,16743,US,Mckean
Sheetz,73,41.027958,-78.440159,1,rooftop,410,W Front St,Clearfield,PA,Clearfield County,16830,US,Clearfield
Sheetz,503,40.31705,-79.683419,0.97,nearest_street,8500,Us Hwy 30,Irwin,PA,Westmoreland County,15642,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,501,39.273803,-80.369303,1,rooftop,855,Milford St,Clarksburg,WV,Harrison County,26301,US,Harrison
Sheetz,287,40.811004,-77.922187,1,rooftop,101,Valley Vista Dr,State College,PA,Centre County,16803,US,Centre
Wawa,355,39.855154,-75.032375,1,rooftop,105,Evesham Ave E,Magnolia,NJ,Camden County,08049,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,221,38.61976,-77.799685,1,rooftop,10101,James Madison Hwy,Bealeton,VA,Fauquier County,22712,US,Fauquier
Wawa,8506,39.466078,-76.63646,1,rooftop,10111,York Rd,Cockeysville,MD,Baltimore County,21030,US,Baltimore
Wawa,5133,27.893122,-82.335729,1,rooftop,10115,Bloomingdale Ave,Riverview,FL,Hillsborough County,33569,US, Loveland
Sheetz,575,39.628081,-79.959108,1,rooftop,1012,University,Morgantown,WV,Monongalia County,26505,US,Statewide
Wawa,8625,37.442493,-77.582823,1,rooftop,10135,Hull Street Rd,Midlothian,VA,Chesterfield County,23112,US,Virginia Geographic Information Network (VGIN)
Wawa,8034,40.165478,-75.291803,0.98,nearest_street,947,Us Hwy 202,Blue Bell,PA,Montgomery County,19422,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,420,40.53635,-78.37379,1,rooftop,1019,940 Old Sixth Ave Rd,Altoona,PA,Blair County,16602,US,Blair
Wawa,116,40.983168,-75.200789,1,rooftop,1015,W Main St,Stroudsburg,PA,Monroe County,18360,US,Monroe
Sheetz,600,35.809124,-78.821838,1,rooftop,1019,Morrisville Pkwy,Morrisville,NC,Wake County,27560,US,Cary
Wawa,837,38.58472,-75.295799,1,rooftop,28512,Dupont Blvd,Millsboro,DE,Sussex County,19966,US,Sussex
Sheetz,428,36.50193,-79.742414,1,rooftop,102,N Van Buren Rd,Eden,NC,Rockingham County,27288,US,NC Geographic Information Coordinating Council
Wawa,5219,28.654914,-81.225977,1,rooftop,1891,W Sr 426,Oviedo,FL,Seminole County,32765,US,Seminole
Sheetz,472,35.899969,-79.94603,1,rooftop,10401,S Main St,High Point,NC,Randolph County,27263,US,NC Geographic Information Coordinating Council
Sheetz,652,39.55496,-76.96039,1,rooftop,1023,Baltimore Blvd,Westminster,MD,Carroll County,21157,US,Carroll
Sheetz,524,35.671413,-80.853822,1,rooftop,1023,Charlotte Hwy,Troutman,NC,Iredell County,28166,US,Alexander
Wawa,573,38.717663,-76.661158,1,rooftop,10205,Kirksville Ln,Dunkirk,MD,Calvert County,20754,US,Statewide
Sheetz,121,41.136486,-80.008318,1,rooftop,202,Mercer St,Harrisville,PA,Butler County,16038,US,Butler
Wawa,5221,27.263787,-80.432049,1,rooftop,10308,SW Tradition Pkwy,Port Saint Lucie,FL,St. Lucie County,34987,US,MapWise (and individual Florida counties)
Wawa,5172,29.127269,-81.006867,1,rooftop,1031,Dunlawton Ave,Daytona Beach,FL,Volusia County,32127,US,Volusia
Sheetz,533,41.425915,-81.759969,1,nearest_street,,I 480,Cleveland,OH,Cuyahoga County,44144,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8607,37.686494,-77.460686,1,rooftop,10373,Sliding Hill Rd,Ashland,VA,Hanover County,23005,US,Virginia Geographic Information Network (VGIN)
Wawa,735,40.260434,-74.549815,1,rooftop,104,Hickory Corner Rd,Hightstown,NJ,Mercer County,08520,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,612,38.412005,-81.798043,1,rooftop,201,New Goff Mountain Rd,Charleston,WV,Kanawha County,25313,US,Statewide
Sheetz,433,38.43581,-82.015376,1,rooftop,53,Old Hurricane Creek Rd,Hurricane,WV,Putnam County,25526,US,Statewide
Wawa,697,38.467355,-77.411733,1,rooftop,105,Garrisonville Rd,Stafford,VA,Stafford County,22554,US,Stafford
Sheetz,336,41.233185,-77.019907,1,rooftop,105,Maynard St,Williamsport,PA,Lycoming County,17701,US,Lycoming
Sheetz,136,41.2266,-80.240305,1,rooftop,123,W Market St,Mercer,PA,Mercer County,16137,US,Mercer
Wawa,8094,40.008437,-75.789252,1,rooftop,105,Reeceville Rd,Coatesville,PA,Chester County,19320,US,Chester
Wawa,236,40.035697,-75.516149,1,rooftop,115,W King St,Malvern,PA,Chester County,19355,US,Chester
Wawa,8068,39.967629,-75.576218,1,rooftop,4,S Five Points Rd,West Chester,PA,Chester County,19382,US,Chester
Wawa,593,39.027272,-76.916741,1,rooftop,10440,Rhode Island Ave,Beltsville,MD,Prince George's County,20705,US,Prince Georges
Wawa,156,40.138373,-75.212304,0.99,nearest_street,111,N Bethlehem Pike,Fort Washington,PA,Montgomery County,19034,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,562,40.834966,-77.671226,1,rooftop,106,Savannah Ln,Centre Hall,PA,Centre County,16828,US,Centre
Sheetz,62,39.650834,-78.911617,0.99,rooftop,351,E Main St,Frostburg,MD,Allegany County,21532,US,Allegany
Wawa,663,38.247598,-77.515071,1,rooftop,10630,Courthouse Rd,Fredericksburg,VA,Spotsylvania County,22407,US,Virginia Geographic Information Network (VGIN)
Sheetz,454,35.692818,-79.796879,1,rooftop,1064,E Dixie Dr,Asheboro,NC,Randolph County,27203,US,Randolph
Sheetz,75,41.064881,-80.056892,1,rooftop,156,N Main St,Slippery Rock,PA,Butler County,16057,US,Butler
Sheetz,525,35.846919,-78.836095,0.99,rooftop,10700,Chapel Hill Rd,Morrisville,NC,Wake County,27560,US,Cary
Wawa,919,40.127563,-74.705898,1,rooftop,1076,Us Highway 206,Bordentown,NJ,Burlington County,08505,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,485,36.096769,-78.296923,1,rooftop,108,S Bickett Blvd,Louisburg,NC,Franklin County,27549,US,Franklin
Wawa,779,39.85202,-75.125301,1,rooftop,1080,Delsea Dr,Westville,NJ,Gloucester County,08093,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,167,39.693242,-78.79034,1,rooftop,10710,Kreighbaum Rd NW,Cumberland,MD,Allegany County,21502,US,Allegany
Wawa,5258,27.485798,-82.434669,1,rooftop,10807,Sr 64 E,Bradenton,FL,Manatee County,34211,US,Manatee
Wawa,118,40.018863,-75.67854,1,rooftop,1083,E Lancaster Ave,Downingtown,PA,Chester County,19335,US,Chester
Sheetz,601,36.687244,-80.886663,1,rooftop,1084,E Stuart Dr,Galax,VA,Galax city,24333,US,Virginia Geographic Information Network (VGIN)
Wawa,966,39.462597,-75.207201,1,rooftop,1090,State Highway 77,Bridgeton,NJ,Cumberland County,08302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,8047,40.111874,-75.023265,1,rooftop,10901,Bustleton Ave,Philadelphia,PA,Philadelphia County,19116,US,Philadelphia
Wawa,5293,28.146861,-81.442872,0.99,rooftop,4651,Old Pleasant Hill Rd,Kissimmee,FL,Osceola County,34759,US,Osceola
Wawa,272,40.417693,-75.343342,1,rooftop,1095,S West End Blvd,Quakertown,PA,Bucks County,18951,US,Bucks
Sheetz,191,40.221537,-77.162948,1,rooftop,1098,Harrisburg Pike,Carlisle,PA,Cumberland County,17013,US,Cumberland
Sheetz,23,40.010919,-78.373541,1,rooftop,14,W Main St,Everett,PA,Bedford County,15537,US,Bedford
Wawa,771,39.252226,-74.613304,1,rooftop,3408-30,Haven Ave,Ocean City,NJ,Cape May County,08226,US,Cape May
Sheetz,659,35.639145,-78.844652,1,rooftop,1100,Avent Ferry Rd,Holly Springs,NC,Wake County,27540,US,Wake
Sheetz,3,40.429248,-78.384518,1,rooftop,1004,1004 Blair St St,Hollidaysburg,PA,Blair County,16648,US,Blair
Sheetz,217,40.845471,-79.881754,1,rooftop,1100,Center Ave,Butler,PA,Butler County,16001,US,Butler
Wawa,823,39.631921,-75.660749,1,rooftop,1110,Pulaski Hwy,Bear,DE,New Castle County,19701,US,New Castle
Sheetz,639,41.126703,-80.767924,1,rooftop,1101,N Canfield Niles Rd,Youngstown,OH,Mahoning County,44515,US,Mahoning
