Chain,Store Number,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Sheetz,399,35.855202,-78.796306,0.98,nearest_street,,Aviation Pkwy,Morrisville,NC,Wake County,27560,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8062,40.133514,-75.451471,0.98,nearest_street,16040,Egypt Rd,Norristown,PA,Montgomery County,19403,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,242,39.426334,-77.430912,1,rooftop,1600,Rosemont Ave,Frederick,MD,Frederick County,21702,US,Frederick County
Wawa,763,39.952901,-74.15557,1,rooftop,1600,State Highway 37,Toms River,NJ,Ocean County,08753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,8307,39.989798,-74.266037,0.99,rooftop,1600,State Highway 37,Toms River,NJ,Ocean County,08755,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,5309,25.993936,-80.296366,1,rooftop,1600,S Hiatus Rd,Hollywood,FL,Broward County,33025,US,Broward
Wawa,8651,37.397921,-77.708397,1,rooftop,7500,Otterdale Rd,Chesterfield,VA,Chesterfield County,23832,US,Virginia Geographic Information Network (VGIN)
Wawa,21,40.106345,-75.214107,0.99,nearest_street,2,Weiss Ave,Flourtown,PA,Montgomery County,19031,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,563,38.895319,-79.846615,1,rooftop,4,Ferree Rd,Elkins,WV,Randolph County,26241,US,Statewide
Wawa,273,40.228687,-75.315186,0.98,nearest_street,1407,S Valley Forge Rd,Lansdale,PA,Montgomery County,19446,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,191,39.926868,-75.145688,1,rooftop,1600,S Chris Columbus Blv,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
Wawa,5121,28.378534,-81.687928,1,rooftop,16126,Greater Groves Blvd,Clermont,FL,Lake County,34714,US,Lake
Wawa,5112,28.653964,-81.469016,1,rooftop,1607,S Orange Blossom Trl,Apopka,FL,Orange County,32703,US,Orange County
Sheetz,155,39.463171,-77.987771,1,rooftop,1617,W King St,Martinsburg,WV,Berkeley County,25401,US,Statewide
Wawa,5156,28.697121,-81.345102,1,rooftop,162,E Sr 434,Longwood,FL,Seminole County,32750,US,Seminole
Sheetz,489,36.116912,-79.872743,1,rooftop,1638,New Garden Rd,Greensboro,NC,Guilford County,27410,US,City of Greensboro
Wawa,5170,26.667063,-81.940412,1,rooftop,761,Del Prado Blvd N,Cape Coral,FL,Lee County,33909,US,MapWise (and individual Florida counties)
Wawa,562,38.889107,-76.720159,1,rooftop,163,Robert Crain Hwy SE,Upper Marlboro,MD,Prince George's County,20774,US,Prince Georges
Sheetz,589,35.593191,-78.598618,1,rooftop,16272,50 Hwy N,Garner,NC,Johnston County,27529,US,NC Geographic Information Coordinating Council
Sheetz,636,36.063439,-79.818539,1,rooftop,1639,Spring Garden St,Greensboro,NC,Guilford County,27403,US,Guilford
Wawa,580,38.664595,-76.87591,1,rooftop,16410,McKendree Rd,Brandywine,MD,Prince George's County,20613,US,Prince Georges
Sheetz,225,39.999464,-78.238765,1,nearest_street,,I 70,Breezewood,PA,Bedford County,15533,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,508,36.351748,-79.69355,1,rooftop,1647,Freeway Dr,Reidsville,NC,Rockingham County,27320,US,NC Geographic Information Coordinating Council
Sheetz,382,41.255578,-80.451554,1,rooftop,1640,N Hermitage Rd,Hermitage,PA,Mercer County,16148,US,Mercer
Sheetz,368,40.974325,-81.463997,1,rooftop,1651,E Turkeyfoot Lake Rd,Akron,OH,Summit County,44312,US,Summit
Sheetz,365,35.596953,-78.760146,1,rooftop,1655,N Main St,Fuquay-Varina,NC,Wake County,27526,US,NC Geographic Information Coordinating Council
Wawa,547,39.653269,-75.790922,1,rooftop,1741,Elkton Rd,Elkton,MD,Cecil County,21921,US,Cecil
Sheetz,337,41.622984,-80.204828,1,rooftop,16590,Conneaut Lake Rd,Meadville,PA,Crawford County,16335,US,Crawford
Sheetz,100,40.539797,-78.354216,1,rooftop,1667,1667 Bellmeade Dr Dr,Altoona,PA,Blair County,16602,US,Blair
Wawa,5198,27.71196,-82.334575,1,rooftop,16620,S Us Highway 301,Wimauma,FL,Hillsborough County,33598,US,Hillsborough County
Sheetz,542,35.63304,-78.495118,1,rooftop,1671,42 Hwy W,Clayton,NC,Johnston County,27520,US,NC Geographic Information Coordinating Council
Wawa,321,40.011563,-74.216902,1,rooftop,1680,Lakewood Rd,Toms River,NJ,Ocean County,08755,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,207,39.187276,-78.12579,1,rooftop,1683,Berryville Pike,Winchester,VA,Frederick County,22603,US,Virginia Geographic Information Network (VGIN)
Sheetz,437,35.980937,-77.809575,1,rooftop,1621,Benvenue Rd,Rocky Mount,NC,Nash County,27804,US,NC Geographic Information Coordinating Council
Wawa,844,39.619396,-75.694747,1,rooftop,1605,Pulaski Hwy,Bear,DE,New Castle County,19701,US,New Castle
Sheetz,506,35.564902,-77.076328,1,rooftop,1695,W 5th St,Washington,NC,Beaufort County,27889,US,Beaufort
Sheetz,257,40.069763,-76.301228,1,rooftop,1699,Oregon Pike,Lancaster,PA,Lancaster County,17601,US,Lancaster
Wawa,961,39.760917,-75.361707,1,nearest_street,,I 295,Swedesboro,NJ,Gloucester County,08085,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,511,35.504683,-78.325717,1,rooftop,1700,E Market St,Smithfield,NC,Johnston County,27577,US,Johnston
Wawa,767,39.839192,-74.99792,1,rooftop,1702,Burnt Mill Rd,Voorhees,NJ,Camden County,08043,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,8608,36.843121,-76.021692,1,rooftop,1700,Virginia Beach Blvd,Virginia Beach,VA,Virginia Beach city,23454,US,Virginia Beach
Sheetz,34,40.508271,-78.400426,0.99,nearest_street,640,17th St,Altoona,PA,Blair County,16602,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,872,39.825991,-75.545814,1,rooftop,1700,Rocky Run Pkwy,Wilmington,DE,New Castle County,19803,US,New Castle
Wawa,86,39.955285,-75.168203,1,rooftop,100,N 17th St,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
Wawa,5197,27.936864,-82.309672,1,rooftop,1609,W Brandon Bv,Brandon,FL,Hillsborough County,33511,US, Loveland
Wawa,720,39.394321,-75.01722,0.99,rooftop,1711,E Main St,Millville,NJ,Cumberland County,08332,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,259,38.352825,-77.048231,1,rooftop,4460,James Madison Pkwy,King George,VA,King George County,22485,US,Virginia Geographic Information Network (VGIN)
Sheetz,638,40.233281,-77.118434,1,rooftop,1760,Harrisburg Pike,Carlisle,PA,Cumberland County,17015,US,Cumberland
Wawa,937,40.004529,-74.152029,1,rooftop,1725,Hooper Ave,Toms River,NJ,Ocean County,08753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,67,40.089767,-75.290746,0.98,nearest_street,1734,Butler Pike,Conshohocken,PA,Montgomery County,19428,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8081,39.895457,-75.315047,0.98,nearest_street,240,Kedron Ave,Folsom,PA,Delaware County,19033,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,5173,29.111718,-81.024843,1,rooftop,1740,Dunlawton Ave,Daytona Beach,FL,Volusia County,32127,US,Volusia
Wawa,861,39.699936,-75.700536,1,rooftop,1750,Capitol Trl,Newark,DE,New Castle County,19711,US,New Castle
Wawa,5183,27.995293,-82.477757,1,rooftop,1760,W Hillsborough Ave,Tampa,FL,Hillsborough County,33603,US,Hillsborough County
Sheetz,390,41.15431,-81.330468,1,rooftop,1762,E Main St,Kent,OH,Portage County,44240,US,Portage
Wawa,834,38.744045,-75.15388,1,rooftop,17663,Dartmouth Dr,Lewes,DE,Sussex County,19958,US,Sussex
Wawa,934,40.424873,-74.287194,1,rooftop,177,State Highway 34,Matawan,NJ,Middlesex County,07747,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,5223,26.650172,-80.088613,1,rooftop,1771,S Congress Ave,West Palm Beach,FL,Palm Beach County,33406,US,Palm Beach County
Wawa,5222,29.01446,-80.940462,1,rooftop,1780,Sr 44,New Smyrna Beach,FL,Volusia County,32168,US,Volusia
Sheetz,163,39.608582,-77.750543,1,rooftop,17807,Venture Dr,Hagerstown,MD,Washington County,21740,US,Statewide
Sheetz,122,40.80915,-77.901263,1,rooftop,1781,N Atherton St,State College,PA,Centre County,16803,US,Centre
Wawa,197,40.924445,-75.393551,1,rooftop,1781,Route 209,Brodheadsville,PA,Monroe County,18322,US,Monroe
Wawa,995,39.962004,-74.185601,1,rooftop,821,Conifer St,Toms River,NJ,Ocean County,08753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,544,40.008753,-76.344098,1,rooftop,1790,Millersville Rd,Lancaster,PA,Lancaster County,17603,US,Lancaster
Sheetz,86,40.326802,-78.951698,1,rooftop,177,Westgate Dr,Johnstown,PA,Cambria County,15905,US,Cambria
Sheetz,426,40.199218,-77.153443,1,rooftop,1784,W Trindle Rd,Carlisle,PA,Cumberland County,17013,US,Cumberland
Wawa,201,40.074798,-75.685904,1,rooftop,1800,Ticonderoga Bl,Chester Springs,PA,Chester County,19425,US,Chester
Sheetz,290,37.903565,-76.865727,1,rooftop,1804,Tappahannock Blvd,Tappahannock,VA,Essex County,22560,US,Virginia Geographic Information Network (VGIN)
Sheetz,566,35.854802,-80.071967,1,rooftop,1811,Liberty Dr,Thomasville,NC,Davidson County,27360,US,NC Geographic Information Coordinating Council
Sheetz,541,35.938703,-79.995179,1,rooftop,1813,S Main St,High Point,NC,Guilford County,27260,US,Guilford
Wawa,382,40.049545,-74.87133,0.99,rooftop,813,Sunset Rd,Burlington,NJ,Burlington County,08016,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,593,35.697643,-81.261216,1,rooftop,1819,Fairgrove Church Rd SE,Conover,NC,Catawba County,28613,US,Catawba
Sheetz,466,39.905994,-77.647221,1,rooftop,1819,Wayne Rd,Chambersburg,PA,Franklin County,17202,US,Franklin
Wawa,8311,39.906834,-74.973953,1,rooftop,25,Rockhill Rd,Cherry Hill,NJ,Camden County,08003,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,222,38.425407,-78.888973,1,rooftop,1801,S Main St,Harrisonburg,VA,Rockingham County,22801,US,Virginia Geographic Information Network (VGIN)
Wawa,841,39.676795,-75.627425,1,rooftop,183,Airport Rd,New Castle,DE,New Castle County,19720,US,New Castle
Sheetz,448,39.763427,-76.96101,1,rooftop,1801,Baltimore Pike,Hanover,PA,York County,17331,US,York
Sheetz,153,41.619903,-80.1687,1,rooftop,18425,Smock Hwy,Meadville,PA,Crawford County,16335,US,Crawford
Wawa,864,38.726101,-75.591617,1,rooftop,18586,Sussex Hwy,Bridgeville,DE,Sussex County,19933,US,Sussex
Wawa,141,40.214928,-75.499726,0.98,nearest_street,1,Township Line Rd,Royersford,PA,Montgomery County,19468,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8019,40.177782,-75.459079,0.98,nearest_street,462,2nd Ave,Collegeville,PA,Montgomery County,19426,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,194,41.141317,-78.785238,1,rooftop,1867,Rich Hwy,Dubois,PA,Clearfield County,15801,US,Clearfield
Sheetz,145,39.685097,-77.720406,1,rooftop,13527,Pennsylvania Ave,Hagerstown,MD,Washington County,21742,US,Statewide
Wawa,267,40.096197,-74.943624,1,rooftop,1817,Hulmeville,Bensalem,PA,Bucks County,19020,US,Bucks
Sheetz,598,35.610259,-78.806634,1,rooftop,1880,N Broad St,Fuquay-Varina,NC,Wake County,27526,US,City of Fuquay Varina
Wawa,989,40.355775,-74.355068,1,rooftop,1886,Englishtown Rd,Old Bridge,NJ,Middlesex County,08857,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,505,35.950319,-78.508538,1,rooftop,1895,S Franklin St,Wake Forest,NC,Wake County,27587,US,NC Geographic Information Coordinating Council
Wawa,293,39.926122,-75.31091,0.98,nearest_street,32,S Bishop Ave,Springfield,PA,Delaware County,19064,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8093,39.953095,-75.172449,1,rooftop,1900,Market St,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
Sheetz,263,40.190478,-77.241306,1,rooftop,1900,Ritner Hwy,Carlisle,PA,Cumberland County,17013,US,Cumberland
Sheetz,349,39.620119,-79.922624,1,rooftop,1904,Listravia,Morgantown,WV,Monongalia County,26505,US,Statewide
Wawa,134,40.299481,-75.585158,0.98,nearest_street,2880,N Charlotte St,Gilbertsville,PA,Montgomery County,19525,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,5144,28.542605,-81.740455,1,rooftop,1909,Us Hwy 27,Clermont,FL,Lake County,34711,US,Lake
Sheetz,464,39.638025,-77.696653,1,rooftop,1020,Professional Ct,Hagerstown,MD,Washington County,21740,US,Statewide
Sheetz,500,40.553921,-80.116534,1,nearest_street,,I 79,Pittsburgh,PA,Allegheny County,15237,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,912,40.460954,-74.507648,1,rooftop,1910,State Highway 27,North Brunswick,NJ,Middlesex County,08902,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,8361,40.008349,-74.972849,1,rooftop,1911,Taylors Ln,Riverton,NJ,Burlington County,08077,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,354,40.498524,-78.390626,0.99,rooftop,1915,1915 Valley View Blvd Blvd,Altoona,PA,Blair County,16602,US,Blair
Sheetz,43,39.699965,-78.184091,1,rooftop,184,W Main St,Hancock,MD,Washington County,21750,US,Statewide
Wawa,223,39.87068,-75.353135,0.98,nearest_street,274,Bullens Ln,Woodlyn,PA,Delaware County,19094,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,5181,28.186814,-82.740959,1,rooftop,1929,Us Highway 19,Holiday,FL,Pasco County,34691,US,Pasco
Wawa,40,40.023145,-75.230564,0.99,nearest_street,202,Belmont Ave,Bala-Cynwyd,PA,Montgomery County,19004,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,299,41.144153,-80.156891,1,rooftop,1901,Butler Pike,Mercer,PA,Mercer County,16137,US,Mercer
Wawa,8022,40.247039,-75.091291,0.99,rooftop,1600,Meyer Way,Jamison,PA,Bucks County,18929,US,Bucks
Wawa,153,40.364553,-75.916421,1,rooftop,1900,N 11th St,Reading,PA,Berks County,19604,US,Berks
Wawa,978,39.581788,-74.369022,1,rooftop,191,Mathistown Rd,Tuckerton,NJ,Ocean County,08087,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,370,40.304747,-76.423099,0.99,nearest_street,188,Rocherty Rd,Lebanon,PA,Lebanon County,17042,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,154,39.927058,-75.332923,0.99,nearest_street,183,Powell Rd,Springfield,PA,Delaware County,19064,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,66,40.010981,-75.295564,0.99,nearest_street,35,Woodside Rd,Ardmore,PA,Montgomery County,19003,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,480,39.846705,-75.183267,1,rooftop,496,Crown Point Rd,Thorofare,NJ,Gloucester County,08086,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,42,40.084589,-75.387737,0.98,nearest_street,116,S Gulph Rd,King of Prussia,PA,Montgomery County,19406,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8021,40.436242,-75.415234,0.99,rooftop,1950,John Fries Hwy,Quakertown,PA,Bucks County,18951,US,Bucks
Sheetz,560,39.799397,-77.199275,1,rooftop,1978,Baltimore Pike,Gettysburg,PA,Adams County,17325,US,Adams
Wawa,691,38.249639,-77.493064,1,rooftop,199,Falcon Dr,Fredericksburg,VA,Spotsylvania County,22408,US,Spotsylvania
Wawa,353,39.915339,-74.826409,1,rooftop,199,Mt Holly Rd,Medford,NJ,Burlington County,08055,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,158,40.093019,-76.351601,1,rooftop,1990,Miller Rd,East Petersburg,PA,Lancaster County,17520,US,Lancaster
Sheetz,647,36.056774,-79.079998,1,rooftop,1990,NC 86 S,Hillsborough,NC,Orange County,27278,US,Orange
Sheetz,613,41.977236,-78.616745,1,rooftop,1002,E Main St,Bradford,PA,McKean County,16701,US,Mckean
Wawa,750,39.640532,-75.516313,1,rooftop,2,Carroll Ave,Pennsville,NJ,Salem County,08070,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,25,39.943795,-75.591665,1,rooftop,2,E Rhodes Ave,West Chester,PA,Chester County,19382,US,Chester
Wawa,8346,39.844456,-75.018298,1,rooftop,2,White Horse Pike,Somerdale,NJ,Camden County,08083,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,392,39.833101,-75.063028,1,rooftop,1791,Chews Landing Clementon Rd,Blackwood,NJ,Camden County,08012,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,497,39.603145,-74.340607,1,rooftop,20,E Main St,Tuckerton,NJ,Ocean County,08087,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,991,40.505556,-74.852108,1,rooftop,20,State Highway 31,Flemington,NJ,Hunterdon County,08822,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,516,39.333507,-80.239243,1,rooftop,20,Oakmont Ln,Bridgeport,WV,Harrison County,26330,US,Harrison
Sheetz,338,37.496288,-77.547546,1,rooftop,20,S* Providence Rd,Richmond,VA,Chesterfield County,23235,US,Virginia Geographic Information Network (VGIN)
Wawa,5242,26.317356,-80.119512,1,rooftop,20,SW 12th Ave,Deerfield Beach,FL,Broward County,33442,US,Broward
Sheetz,311,41.027811,-81.527906,1,rooftop,20,W Waterloo Rd,Akron,OH,Summit County,44319,US,Summit
Wawa,8050,40.262715,-75.318815,0.97,nearest_street,2374,W Main St,Lansdale,PA,Montgomery County,19446,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,196,40.110469,-74.838274,1,rooftop,200,Green Ln,Bristol,PA,Bucks County,19007,US,Bucks
Wawa,8318,40.749415,-74.137261,0.99,rooftop,1200,Harrison Ave,Kearny,NJ,Hudson County,07032,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,358,39.9531,-74.870277,1,rooftop,200,Larchmont Blvd,Mount Laurel,NJ,Burlington County,08054,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,521,40.7351,-80.10883,1,rooftop,2000,Ehrman Rd,Cranberry Twp,PA,Butler County,16066,US,Butler
Sheetz,320,37.157164,-80.418625,1,rooftop,2000,N Franklin St,Christiansburg,VA,Montgomery County,24073,US,Virginia Geographic Information Network (VGIN)
Wawa,5235,26.253865,-80.200263,1,rooftop,2000,N State Rd 7,Pompano Beach,FL,Broward County,33063,US,Broward
Wawa,996,40.257989,-74.090941,1,rooftop,2000,Shafto Rd,Asbury Park,NJ,Monmouth County,07712,US,Monmouth
Sheetz,346,38.310612,-77.512829,0.99,rooftop,2001,Carl D Silver Pkwy,Fredericksburg,VA,Fredericksburg city,22401,US,Virginia Geographic Information Network (VGIN)
Sheetz,190,40.454916,-79.711593,1,rooftop,2003,Golden Mile Hwy,Pittsburgh,PA,Allegheny County,15239,US,Allegheny
Wawa,943,40.051944,-74.841539,1,rooftop,2003,Mount Holly Rd,Burlington,NJ,Burlington County,08016,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,349,40.233135,-74.709537,1,rooftop,2004,Nottingham Way,Trenton,NJ,Mercer County,08619,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,5259,28.540448,-82.402465,1,rooftop,20019,Cortez Blvd,Brooksville,FL,Hernando County,34601,US, Loveland
Sheetz,40,40.387002,-77.88245,1,rooftop,34,W Water St,Mount Union,PA,Huntingdon County,17066,US,Huntingdon
Wawa,8069,39.949029,-75.163957,1,rooftop,201-11,S Broad St,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
Wawa,168,40.016816,-75.322317,0.99,nearest_street,783,Miller St,Bryn Mawr,PA,Delaware County,19010,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,671,36.833544,-76.095947,1,rooftop,201,S Rosemont Rd,Virginia Beach,VA,Virginia Beach city,23452,US,Virginia Geographic Information Network (VGIN)
Wawa,8310,39.803296,-74.950968,1,rooftop,195,W White Horse Pike,Berlin,NJ,Camden County,08009,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,8063,40.145623,-75.114755,0.98,nearest_street,249,Mineral Ave,Willow Grove,PA,Montgomery County,19090,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,395,37.272084,-78.401918,1,rooftop,2016,S Main St,Farmville,VA,Prince Edward County,23901,US,Virginia Geographic Information Network (VGIN)
Wawa,14,39.961559,-75.278347,0.99,nearest_street,7801,Park Ave,Upper Darby,PA,Delaware County,19082,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,632,37.070241,-79.896458,0.99,rooftop,20281,Virgil H Goode Hwy,Rocky Mount,VA,Franklin County,24151,US,Virginia Geographic Information Network (VGIN)
Sheetz,477,40.58764,-79.746609,0.98,nearest_street,2505,Leechburg Rd,New Kensington,PA,Westmoreland County,15068,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,858,39.721283,-75.656803,1,rooftop,2030,Limestone Rd,Wilmington,DE,New Castle County,19808,US,New Castle
Wawa,585,39.612914,-75.930547,1,rooftop,2031,W Pulaski Hwy,Elkton,MD,Cecil County,21921,US,Cecil
Wawa,8500,39.503268,-76.383615,1,rooftop,204,Connolly Rd,Fallston,MD,Harford County,21047,US,Statewide
Wawa,976,40.440272,-74.225153,1,rooftop,204,State Highway 35,Keyport,NJ,Monmouth County,07735,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,161,39.96252,-75.173241,1,rooftop,2101,Hamilton St,Philadelphia,PA,Philadelphia County,19130,US,Philadelphia
Sheetz,41,39.677694,-78.737247,1,rooftop,2031,Bedford St,Cumberland,MD,Allegany County,21502,US,Statewide
Sheetz,239,40.21862,-79.609318,0.99,nearest_street,113,W Byers Ave,New Stanton,PA,Westmoreland County,15672,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8,39.966501,-75.359127,0.99,nearest_street,2070,Sproul Rd,Broomall,PA,Delaware County,19008,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,662,38.632845,-77.275813,1,rooftop,2051,Daniel Stuart Sq,Woodbridge,VA,Prince William County,22191,US,Virginia Geographic Information Network (VGIN)
Sheetz,322,37.520839,-77.612865,1,rooftop,2053,Huguenot Rd,Richmond,VA,Chesterfield County,23235,US,Virginia Geographic Information Network (VGIN)
Wawa,921,40.101869,-74.793894,1,rooftop,2060,Us Highway 130,Burlington,NJ,Burlington County,08016,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,373,39.936588,-76.693742,1,rooftop,2068,S Queen St,York,PA,York County,17403,US,York
Sheetz,209,39.571986,-77.645738,0.99,rooftop,20810,National Pike,Boonsboro,MD,Washington County,21713,US,Statewide
Wawa,376,39.931574,-74.742803,1,rooftop,2075,Us Highway 206,Vincentown,NJ,Burlington County,08088,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,318,38.237016,-76.496428,1,rooftop,20764,Old Great Mills Rd,Great Mills,MD,St. Mary's County,20634,US,Statewide
Sheetz,22,40.320953,-78.918758,1,rooftop,203,203-205 Haynes St,Johnstown,PA,Cambria County,15901,US,Cambria
Sheetz,165,41.769451,-78.021801,1,rooftop,302,S Main St,Coudersport,PA,Potter County,16915,US,Potter
Sheetz,604,39.579459,-79.953156,1,rooftop,21,Asturias,Morgantown,WV,Monongalia County,26505,US,Statewide
Wawa,178,39.907373,-75.326527,0.98,nearest_street,81,Silver Lake Ter,Morton,PA,Delaware County,19070,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,345,40.061254,-74.63247,1,rooftop,210,Georgetown Wrightstown Rd,Wrightstown,NJ,Burlington County,08562,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,51,39.649928,-78.769954,1,rooftop,214,Greene St,Cumberland,MD,Allegany County,21502,US,Statewide
Sheetz,391,35.565262,-77.355454,1,rooftop,1900,E Fire Tower Rd,Greenville,NC,Pitt County,27858,US,Pitt
Sheetz,327,40.398101,-79.769069,1,rooftop,2125,Mosside Blvd,Monroeville,PA,Allegheny County,15146,US,Allegheny
Sheetz,434,41.047053,-76.273184,0.98,nearest_street,2090,W Front St,Berwick,PA,Columbia County,18603,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,387,40.003797,-81.575102,1,rooftop,2101,Southgate Pkwy,Cambridge,OH,Guernsey County,43725,US,Guernsey
Sheetz,422,41.312693,-81.858176,1,rooftop,21034,Royalton Rd,Strongsville,OH,Cuyahoga County,44136,US,Cuyahoga
Wawa,964,39.421407,-75.039287,1,rooftop,2105,N 2nd St,Millville,NJ,Cumberland County,08332,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,154,40.307663,-79.538487,0.99,nearest_street,447,Us Hwy 119,Greensburg,PA,Westmoreland County,15601,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,610,40.53325,-80.071548,1,rooftop,211,Mount Nebo Rd,Pittsburgh,PA,Allegheny County,15237,US,Allegheny
Wawa,748,39.86956,-74.844158,1,rooftop,211,Tuckerton Rd,Medford,NJ,Burlington County,08055,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,8428,39.988283,-75.009041,1,rooftop,6,Us Highway 130,Riverton,NJ,Burlington County,08077,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,148,41.08266,-78.783845,1,rooftop,2120,Blinker Pkwy,Dubois,PA,Clearfield County,15801,US,Clearfield
Wawa,275,40.02935,-76.231422,1,rooftop,2126,Lincoln Hwy E,Lancaster,PA,Lancaster County,17602,US,Lancaster
Wawa,8105,39.945475,-75.178674,1,rooftop,2201,South St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Wawa,495,39.652372,-74.796325,1,rooftop,214,N White Horse Pike,Hammonton,NJ,Atlantic County,08037,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,462,39.983684,-76.726167,1,rooftop,300,Arsenal Rd,York,PA,York County,17402,US,York
Wawa,257,40.044868,-75.392634,0.98,nearest_street,125,Francis Ave,Wayne,PA,Delaware County,19087,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,556,39.640078,-79.956271,1,rooftop,2161,University,Morgantown,WV,Monongalia County,26505,US,Statewide
Sheetz,126,39.597995,-78.241132,0.99,rooftop,39,Nevada Ln,Berkeley Springs,WV,Morgan County,25411,US,Statewide
